"","X","W","Y","Y0","Y1"
"1",52,1,0.878837130658721,0.598917100039719,0.878837130658721
"2",54,0,0.335868586462333,0.335868586462333,0.741206254367898
"3",56,0,0.14115105398065,0.14115105398065,0.419453277795902
"4",60,1,0.0162978740890837,-0.296390088402397,0.0162978740890837
"5",52,1,1.07967391293352,0.674890122064522,1.07967391293352
"6",58,1,0.449112469920909,0.0687528232311621,0.449112469920909
"7",60,0,-0.0756082391337961,-0.0756082391337961,0.147567726364081
"8",56,0,0.517992033092476,0.517992033092476,0.760795108759718
"9",56,0,0.337904012803577,0.337904012803577,1.08775888118757
"10",50,1,1.18262257352437,1.31482950736609,1.18262257352437
"11",52,1,1.03978834483069,0.887730241018697,1.03978834483069
"12",52,0,1.01582963645588,1.01582963645588,0.958639104078465
"13",56,1,0.508854736472526,0.280272172742875,0.508854736472526
"14",54,0,0.302880195424601,0.302880195424601,0.511335494041901
"15",58,0,0.132858406644523,0.132858406644523,0.341127784875361
"16",54,0,0.57994473610728,0.57994473610728,0.612368017471239
"17",58,0,0.169191078620962,0.169191078620962,0.598241159745932
"18",60,0,-0.0248599514266454,-0.0248599514266454,0.917451697430722
"19",54,0,0.39131150531837,0.39131150531837,0.903064818271235
"20",58,1,0.266127774832939,0.664444885768638,0.266127774832939
"21",60,1,0.587404243986785,-0.124599254890719,0.587404243986785
"22",52,0,0.482486347994399,0.482486347994399,1.01734571480203
"23",56,0,0.1657640718885,0.1657640718885,0.729547811232462
"24",52,0,0.933359810618979,0.933359810618979,1.47223632170779
"25",52,0,0.395809223644463,0.395809223644463,0.623577977760902
"26",54,0,0.520735840144904,0.520735840144904,0.77264918195744
"27",50,0,0.895059081162694,0.895059081162694,1.01983789063879
"28",54,0,0.554786043904389,0.554786043904389,0.399918912163997
"29",58,0,0.400452802929207,0.400452802929207,0.457496037795301
"30",54,0,0.411520523878453,0.411520523878453,0.817958999614557
"31",54,0,0.644443674734305,0.644443674734305,0.619798704927956
"32",56,0,0.452085712257409,0.452085712257409,0.269988156322579
"33",54,1,0.824581928326064,0.800784306237636,0.824581928326064
"34",52,0,0.401229628367648,0.401229628367648,0.722411224078261
"35",58,1,0.504234515078201,0.5998959142228,0.504234515078201
"36",56,0,0.524817658296228,0.524817658296228,0.541918646036149
"37",58,1,0.575777430101437,0.291903523869643,0.575777430101437
"38",52,0,0.697367459549915,0.697367459549915,1.04070971257269
"39",58,1,0.485606225211902,0.431837604787261,0.485606225211902
"40",54,0,0.816129019768148,0.816129019768148,0.152774068695615
"41",58,0,0.380538071574149,0.380538071574149,0.988771554303352
"42",56,1,0.539405126105804,0.467816388352144,0.539405126105804
"43",58,0,0.278527036375786,0.278527036375786,0.628797534707912
"44",56,0,0.588880937138705,0.588880937138705,1.0896398747048
"45",56,0,0.352710089834527,0.352710089834527,0.62032267975575
"46",58,0,0.29431067141774,0.29431067141774,0.355539785704978
"47",50,0,0.897941763734317,0.897941763734317,1.30182121072819
"48",54,0,0.533476972732856,0.533476972732856,0.876839480212301
"49",58,1,0.665206526948583,0.221566289281618,0.665206526948583
"50",56,0,0.35037182571827,0.35037182571827,0.282410108830515
"51",54,1,0.784978913313431,0.740271932606234,0.784978913313431
"52",58,1,0.231301243301884,0.311793115709044,0.231301243301884
"53",54,1,0.900915864465038,0.533114030246106,0.900915864465038
"54",52,0,0.721528994407009,0.721528994407009,0.462196197433147
"55",50,1,1.10832052118631,0.847300618935262,1.10832052118631
"56",50,1,0.910846794405615,1.02907964273475,0.910846794405615
"57",54,0,0.398971246606069,0.398971246606069,0.770432543734023
"58",56,1,0.414963098429407,0.349843582593881,0.414963098429407
"59",56,0,0.484749244088576,0.484749244088576,0.62130472046375
"60",54,1,0.259210269134205,0.684555341498538,0.259210269134205
"61",60,1,0.408328332469005,-0.177307354630206,0.408328332469005
"62",52,0,0.930742220095431,0.930742220095431,1.26263347944606
"63",54,1,0.794814907653742,0.511588679104778,0.794814907653742
"64",54,0,0.405480309678079,0.405480309678079,0.607949086813771
